Handle,Command,Title,Body HTML,Vendor,Type,Tags,Tags Command,Status,Published,Published Scope,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Policy,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Variant Fulfillment Service,SEO Title,SEO Description,Smart Collections,Metafield: divine.product_notes [single_line_text_field]
organic-elderberries-botanicals,MERGE,Organic Elderberries Botanicals,,Divine Ingredients,Tea,"Category_Spices_Botanicals, Format_Botanical, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Elderberries Botanicals,,Spices & Botanicals; All Organic,
organic-ginger-powder,MERGE,Organic Ginger Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Ginger Powder,,All Powders; All Organic,
organic-green-rooibos-botanicals,MERGE,Organic Green Rooibos Botanicals,,Divine Ingredients,Tea,"Category_Spices_Botanicals, Format_Botanical, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Green Rooibos Botanicals,,Spices & Botanicals; All Organic,
organic-green-spirulina-powder,MERGE,Organic Green Spirulina Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Green Spirulina Powder,,All Powders; All Organic,
organic-hemp-berry-infusion,MERGE,Organic Hemp Berry Infusion,,Divine Ingredients,Tea,"Category_Tea, Function_Immunity, Type_Hemp Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Hemp Berry Infusion,,Immunity; Hemp Tea; All Teas,
organic-hibiscus-botanicals,MERGE,Organic Hibiscus Botanicals,,Divine Ingredients,Tea,"Category_Spices_Botanicals, Format_Botanical, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Hibiscus Botanicals,,Spices & Botanicals; All Organic,
organic-immunity-herbal-tea,MERGE,Organic Immunity Herbal Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Immunity, Organic, Type_Herbal Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Immunity Herbal Tea,,Immunity; Herbal Tea; All Teas; All Organic,
organic-lemongrass-botanicals,MERGE,Organic Lemongrass Botanicals,,Divine Ingredients,Tea,"Category_Spices_Botanicals, Format_Botanical, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Lemongrass Botanicals,,Spices & Botanicals; All Organic,
organic-licorice-spice,MERGE,Organic Licorice Spice,,Divine Ingredients,Tea,"Category_Spices_Botanicals, Format_Spice, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Licorice Spice,,Spices & Botanicals; All Organic,
organic-lions-mane-powder,MERGE,Organic Lion's Mane Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,20.18,shopify,deny,TRUE,TRUE,g,manual,Organic Lion's Mane Powder,,All Powders; All Organic,
organic-maca-powder,MERGE,Organic Maca Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Maca Powder,,All Powders; All Organic,
organic-molasses-powder,MERGE,Organic Molasses Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,15.51,shopify,deny,TRUE,TRUE,g,manual,Organic Molasses Powder,,All Powders; All Organic,
organic-moringa-powder,MERGE,Organic Moringa Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Moringa Powder,,All Powders; All Organic,
organic-reishi-mushroom-powder,MERGE,Organic Reishi Mushroom Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,21.24,shopify,deny,TRUE,TRUE,g,manual,Organic Reishi Mushroom Powder,,All Powders; All Organic,
organic-rhodioba-root-powder,MERGE,Organic Rhodiola Root Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,22.80,shopify,deny,TRUE,TRUE,g,manual,Organic Rhodiola Root Powder,,All Powders; All Organic,Note: URL handle typo (rhodioba)
organic-rose-petals-powder,MERGE,Organic Rose Petals Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,19.06,shopify,deny,TRUE,TRUE,g,manual,Organic Rose Petals Powder,,All Powders; All Organic,
organic-rosehips-botanicals,MERGE,Organic Rosehips Botanicals,,Divine Ingredients,Tea,"Category_Spices_Botanicals, Format_Botanical, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Rosehips Botanicals,,Spices & Botanicals; All Organic,
organic-roseships-powder,MERGE,Organic Roseships Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Roseships Powder,,All Powders; All Organic,
organic-star-anise-spice,MERGE,Organic Star Anise Spice,,Divine Ingredients,Tea,"Category_Spices_Botanicals, Format_Spice, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Star Anise Spice,,Spices & Botanicals; All Organic,
organic-supreme-matcha-green-tea,MERGE,Organic Supreme Matcha Green Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Focus and Energy, Organic, Type_Matcha",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Supreme Matcha Green Tea,,Focus and Energy; Matcha; All Teas; All Organic,
supreme-matcha,MERGE,Organic Supreme Matcha Green Tea Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,30.68,shopify,deny,TRUE,TRUE,g,manual,Organic Supreme Matcha Green Tea Powder,,All Powders; All Organic,Also appears in Zen Greens
organic-taro-powder,MERGE,Organic Taro Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,19.39,shopify,deny,TRUE,TRUE,g,manual,Organic Taro Powder,,All Powders; All Organic,
