ID,Title,Command,Tags,Tags Command
6299825242287,Organic Turmeric Powder,MERGE,Organic,MERGE
6299829305519,Organic Hemp Protein Powder,MERGE,Organic,MERGE
6734188970159,Wine Berry Iced Tea,MERGE,Organic,MERGE
6734191394991,Peach Mango Tango Iced Tea,MERGE,Organic,MERGE
6912968261807,Organic Coconut Sugar,MERGE,Organic,MERGE
6912969310383,Organic Moringa Powder,MERGE,Organic,MERGE
6912969703599,Organic Pumpkin Powder,MERGE,Organic,MERGE
6912973242543,Organic Carob Powder,MERGE,Organic,MERGE
6912977731759,Organic Rhodiola Root Powder,MERGE,Organic,MERGE
6912980877487,Organic Maca Powder,MERGE,Organic,MERGE
6912982188207,Organic Cocoa Powder,MERGE,Organic,MERGE
6912982319279,Organic Lucuma Powder,MERGE,Organic,MERGE
6912982941871,Organic Rosehips Powder,MERGE,Organic,MERGE
6912984121519,Organic Theanine Powder,MERGE,Organic,MERGE
6912985006255,Organic Maple Sugar,MERGE,Organic,MERGE
6912985465007,Organic Chaga Powder,MERGE,Organic,MERGE
7131640037551,Casacara Hemp Chocolate Rose,MERGE,Organic,MERGE
7131640889519,Love Potion Black Tea,MERGE,Organic,MERGE
7131642462383,Organic Hemp Green Tea,MERGE,Organic,MERGE
7131642527919,Organic Immunity Herbal Tea,MERGE,Organic,MERGE
7131642953903,Organic Mesquite Powder,MERGE,Organic,MERGE
7131643805871,Organic Supreme Matcha Green Tea Powder,MERGE,Organic,MERGE
7135110332591,Energize Hemp Tea,MERGE,Organic,MERGE
7138909782191,Relax Hemp Tea,MERGE,Organic,MERGE
7138926067887,Think Hemp Tea,MERGE,Organic,MERGE
7138933997743,Heart Hemp Tea,MERGE,Organic,MERGE
7157672804527,China Black Tea,MERGE,Organic,MERGE
7157683126447,Ceylon Black Tea,MERGE,Organic,MERGE
7598511816879,Pumpkin Spice Latte Powder,MERGE,Organic,MERGE
8616073461935,Organic Chamomile Herbal Tea,MERGE,Organic,MERGE
8616073494703,Coffee Cherry Powder,MERGE,Organic,MERGE
8616073887919,Mellow Mint Herbal Tea,MERGE,Organic,MERGE
8616074313903,Sweetened Matcha Green Tea,MERGE,Organic,MERGE
8616074510511,Wine Berry Iced Tea,MERGE,Organic,MERGE
8616078409903,Crimsonberry Tea,MERGE,Organic,MERGE
8616078442671,Herbal Chai,MERGE,Organic,MERGE
8616078475439,Kashmiri Green Chai,MERGE,Organic,MERGE
8616078573743,Pumpkin Chai Black Tea,MERGE,Organic,MERGE
8616078606511,Sweetened Matcha Green Tea,MERGE,Organic,MERGE
8616078639279,Tulsi Chai,MERGE,Organic,MERGE
8616078672047,Ube Matcha Tea,MERGE,Organic,MERGE
8616078704815,Unflavoured Black Iced Tea,MERGE,Organic,MERGE
