"ID","Handle","Command","Title","Is Default","Top Row","Row #","Menu Item: ID","Menu Item: Title","Menu Item: Command","Menu Item: Resource Type","Menu Item: Resource ID","Menu Item: Resource Handle","Menu Item: Collection Tags","Menu Item: URL","Menu Item: Parent ID","Menu Item: Parent Title","Menu Item: Position"
"170286514351","main-menu","MERGE","Top Navigation","true","true","1","392407646383","Loose Leaf","MERGE","FRONTPAGE","","","","/","","","1"
"170286514351","main-menu","MERGE","Top Navigation","true","","2","392408301743","Black Tea","MERGE","COLLECTION","234857398447","black-tea","","/collections/black-tea","392407646383","Loose Leaf","1"
"170286514351","main-menu","MERGE","Top Navigation","true","","3","392408432815","Green Tea","MERGE","COLLECTION","234857529519","green-tea","","/collections/green-tea","392407646383","Loose Leaf","2"
"170286514351","main-menu","MERGE","Top Navigation","true","","4","392408465583","Oolong Tea","MERGE","COLLECTION","234857562287","oolong-tea","","/collections/oolong-tea","392407646383","Loose Leaf","3"
"170286514351","main-menu","MERGE","Top Navigation","true","","5","392408498351","Wellness Teas","MERGE","COLLECTION","234857595055","wellness-tea","","/collections/wellness-tea","392407646383","Loose Leaf","4"
"170286514351","main-menu","MERGE","Top Navigation","true","","6","392408531119","Herbal Teas","MERGE","COLLECTION","234857627823","organic-herbal-tea","","/collections/organic-herbal-tea","392407646383","Loose Leaf","5"
"170286514351","main-menu","MERGE","Top Navigation","true","","7","392408563887","Signature Tea","MERGE","COLLECTION","234857660591","signature-tea","","/collections/signature-tea","392407646383","Loose Leaf","6"
"170286514351","main-menu","MERGE","Top Navigation","true","","8","392408596655","Iced Teas","MERGE","COLLECTION","234857693359","iced-tea","","/collections/iced-tea","392407646383","Loose Leaf","7"
"170286514351","main-menu","MERGE","Top Navigation","true","","9","392408334511","Botanicals","MERGE","COLLECTION","234857758895","organic-botanicals","","/collections/organic-botanicals","","","2"
"170286514351","main-menu","MERGE","Top Navigation","true","","10","392407679151","Spices","MERGE","COLLECTION","234857726127","spices","","/collections/spices","","","3"
"170286514351","main-menu","MERGE","Top Navigation","true","","11","409791889583","Powders","MERGE","COLLECTION","244922712239","powder","","/collections/powder","","","4"
"170286514351","main-menu","MERGE","Top Navigation","true","","12","448943882415","Iced Teas","MERGE","COLLECTION","284340420783","iced-teas","","/collections/iced-teas","","","5"
"170286514351","main-menu","MERGE","Top Navigation","true","","13","397589348527","Accessories","MERGE","COLLECTION","238391230639","accessories","","/collections/accessories","","","6"
"170286547119","footer","MERGE","Shop","true","true","14","","Superfoods","MERGE","COLLECTION","305871945903","organic-superfood-powders","","/collections/organic-superfood-powders","","","1"
"170286547119","footer","MERGE","Shop","true","","15","","Tea","MERGE","COLLECTION","356455678127","tea","","/collections/tea","","","2"
"170286547119","footer","MERGE","Shop","true","","16","","Spices","MERGE","COLLECTION","234857726127","spices","","/collections/spices","","","3"
"171020812463","quick-links","MERGE","Support","","true","17","","Contact","MERGE","PAGE","74418159791","contact-us","","/pages/contact-us","","","1"
"171020812463","quick-links","MERGE","Support","","","18","","Shipping","MERGE","PAGE","73310011567","delivery","","/pages/delivery","","","2"
"171020812463","quick-links","MERGE","Support","","","19","","FAQ","MERGE","PAGE","82852708527","faqs","","/pages/faqs","","","3"
"194927296687","promoted-brands","MERGE","Shop by Lifestyle","","true","20","","Focus & Energy","MERGE","HTTP","","","","/collections/focus-energy","","","1"
"194927296687","promoted-brands","MERGE","Shop by Lifestyle","","","21","","Detox & Wellness","MERGE","HTTP","","","","/collections/detox-wellness","","","2"
"194927296687","promoted-brands","MERGE","Shop by Lifestyle","","","22","","Tea Rituals","MERGE","HTTP","","","","/collections/tea-rituals","","","3"
"194927296687","promoted-brands","MERGE","Shop by Lifestyle","","","23","","Smoothies & Superfoods","MERGE","HTTP","","","","/collections/smoothies-superfoods","","","4"
"197627773103","divine-ingredients-menu","MERGE","Divine Ingredients Menu","","true","24","512923631791","Tea Box Subscriptions","MERGE","COLLECTION","336062775471","subscribe-to-our-favorite-teas-at-divine-ingredients","","/collections/subscribe-to-our-favorite-teas-at-divine-ingredients","","","1"
"197627773103","divine-ingredients-menu","MERGE","Divine Ingredients Menu","","","25","459348770991","Organic Teas","MERGE","CATALOG","","","","/collections/all","","","2"
"197627773103","divine-ingredients-menu","MERGE","Divine Ingredients Menu","","","26","460094111919","Matcha Green Tea Powders","MERGE","COLLECTION","306921898159","matcha-tea-powders","","/collections/matcha-tea-powders","459348770991","Organic Teas","1"
"197627773103","divine-ingredients-menu","MERGE","Divine Ingredients Menu","","","27","459407425711","Organic Herbal Tea","MERGE","COLLECTION","234857627823","organic-herbal-tea","","/collections/organic-herbal-tea","459348770991","Organic Teas","2"
"197627773103","divine-ingredients-menu","MERGE","Divine Ingredients Menu","","","28","459407294639","Organic Black Tea","MERGE","COLLECTION","234857398447","black-tea","","/collections/black-tea","459348770991","Organic Teas","3"
"197627773103","divine-ingredients-menu","MERGE","Divine Ingredients Menu","","","29","459407327407","Organic Green Tea","MERGE","COLLECTION","234857529519","green-tea","","/collections/green-tea","459348770991","Organic Teas","4"
"197627773103","divine-ingredients-menu","MERGE","Divine Ingredients Menu","","","30","459407360175","Loose Leaf Oolong Tea","MERGE","COLLECTION","234857562287","oolong-tea","","/collections/oolong-tea","459348770991","Organic Teas","5"
"197627773103","divine-ingredients-menu","MERGE","Divine Ingredients Menu","","","31","459407392943","Wellness Tea","MERGE","COLLECTION","234857595055","wellness-tea","","/collections/wellness-tea","459348770991","Organic Teas","6"
"197627773103","divine-ingredients-menu","MERGE","Divine Ingredients Menu","","","32","459407458479","Organic Iced Tea","MERGE","COLLECTION","234857693359","iced-tea","","/collections/iced-tea","459348770991","Organic Teas","7"
"197627773103","divine-ingredients-menu","MERGE","Divine Ingredients Menu","","","33","459348738223","Organic Superfood Powders","MERGE","COLLECTION","244922712239","powder","","/collections/powder","","","3"
