"ID","File Name","Command","Link","Alt Text","Created At","Type","Mime Type","Width","Height","Duration","Status","Errors"
"gid://shopify/MediaImage/16003348431023","BO.Speares1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Speares1.jpg?v=1750439470","Organic Spearmint Leaves Botanicals","2020-12-01 05:33:46 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003349479599","BO.Tulsisi1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Tulsisi1.jpg?v=1750439469","Organic Tulsi Botanicals","2020-12-01 05:33:49 -0800","IMAGE","image/jpeg","5065","3377","","Ready",""
"gid://shopify/MediaImage/16003350954159","BO.Valerot1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Valerot1.jpg?v=1750439468","Organic Valerian Root Botanicals","2020-12-01 05:33:51 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003352625327","BO.Yerbate1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Yerbate1.jpg?v=1750439467","Organic Yerba Mate Botanicals","2020-12-01 05:33:53 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003354558639","BT.Breakis1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Breakis1.jpg?v=1750439464","Classic English Breakfast Black Tea","2020-12-01 05:33:57 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003355574447","BT.Cocoaes1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Cocoaes1.jpg?v=1750439463","Chocolate Kisses Black Tea","2020-12-01 05:33:59 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003356491951","BT.Cocoant1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Cocoant1.jpg?v=1750439461","Chocolate Mint Black Tea","2020-12-01 05:34:01 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003358359727","BT.Diviney1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Diviney1.jpg?v=1750439459","Divine Earl Grey Black Tea","2020-12-01 05:34:03 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003360653487","ST.Keemuck1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Keemuck1.jpg?v=1750439458","Chinese Keemun Black Tea","2020-12-01 05:34:05 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003362324655","GT.Maofeng1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/GT.Maofeng1.jpg?v=1750439457","Chinese Mao Feng Green Tea","2020-12-01 05:34:07 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003364782255","BT.Lapsang1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Lapsang1.jpg?v=1750439454","Chinese Lapsang Souchong Black Tea","2020-12-01 05:34:11 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003365241007","BT.Masalai1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Masalai1.jpg?v=1750439453","Masala Chai Black Tea","2020-12-01 05:34:14 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
