"ID","Handle","Command","Title","Body HTML","Sort Order","Template Suffix","Updated At","Published","Published At","Published Scope","Image Src","Image Width","Image Height","Image Alt Text","Row #","Top Row","Must Match","Rule: Product Column","Rule: Relation","Rule: Condition","Product: ID","Product: Handle","Product: Position","Metafield: title_tag [string]","Metafield: description_tag [string]"
"244053967023","summer-collection","MERGE","Summer Collection","","Manual","","2026-01-11 04:11:13 -0800","","","web","https://cdn.shopify.com/s/files/1/0506/6965/0095/collections/michael-dziedzic-16ZPVKLhO8M-unsplash_1.jpg?v=1612323222","1918","880","","19","","","","","","6127719055535","passion-berry-iced-tea","19","",""
"244053967023","summer-collection","MERGE","Summer Collection","","Manual","","2026-01-11 04:11:13 -0800","","","web","https://cdn.shopify.com/s/files/1/0506/6965/0095/collections/michael-dziedzic-16ZPVKLhO8M-unsplash_1.jpg?v=1612323222","1918","880","","20","","","","","","7131643805871","supreme-matcha","20","",""
"244053967023","summer-collection","MERGE","Summer Collection","","Manual","","2026-01-11 04:11:13 -0800","","","web","https://cdn.shopify.com/s/files/1/0506/6965/0095/collections/michael-dziedzic-16ZPVKLhO8M-unsplash_1.jpg?v=1612323222","1918","880","","21","","","","","","8102156632239","matcha-subscription-box","21","",""
"244053967023","summer-collection","MERGE","Summer Collection","","Manual","","2026-01-11 04:11:13 -0800","","","web","https://cdn.shopify.com/s/files/1/0506/6965/0095/collections/michael-dziedzic-16ZPVKLhO8M-unsplash_1.jpg?v=1612323222","1918","880","","22","","","","","","8320853475503","supreme-matcha-subscription","22","",""
"244922712239","powder","MERGE","Organic Powders","<span data-offset-key=""8o902-1867-0"" data-mce-fragment=""1"">At</span><span data-offset-key=""8o902-1868-0"" data-mce-fragment=""1""> Divine</span><span data-offset-key=""8o902-1869-0"" data-mce-fragment=""1""> Ingredients</span><span data-offset-key=""8o902-1870-0"" data-mce-fragment=""1"">,</span><span data-offset-key=""8o902-1871-0"" data-mce-fragment=""1""> we</span><span data-offset-key=""8o902-1872-0"" data-mce-fragment=""1""> offer</span><span data-offset-key=""8o902-1873-0"" data-mce-fragment=""1""> a</span><span data-offset-key=""8o902-1874-0"" data-mce-fragment=""1""> wide</span><span data-offset-key=""8o902-1875-0"" data-mce-fragment=""1""> selection</span><span data-offset-key=""8o902-1876-0"" data-mce-fragment=""1""> of</span><span data-offset-key=""8o902-1877-0"" data-mce-fragment=""1""> organic</span><span data-offset-key=""8o902-1878-0"" data-mce-fragment=""1""> powd</span><span data-offset-key=""8o902-1879-0"" data-mce-fragment=""1"">ers</span><span data-offset-key=""8o902-1880-0"" data-mce-fragment=""1""> that</span><span data-offset-key=""8o902-1881-0"" data-mce-fragment=""1""> are</span><span data-offset-key=""8o902-1882-0"" data-mce-fragment=""1""> perfect</span><span data-offset-key=""8o902-1883-0"" data-mce-fragment=""1""> for</span><span data-offset-key=""8o902-1884-0"" data-mce-fragment=""1""> adding</span><span data-offset-key=""8o902-1885-0"" data-mce-fragment=""1""> flavor</span><span data-offset-key=""8o902-1886-0"" data-mce-fragment=""1"">,</span><span data-offset-key=""8o902-1887-0"" data-mce-fragment=""1""> nutrition</span><span data-offset-key=""8o902-1888-0"" data-mce-fragment=""1"">,</span><span data-offset-key=""8o902-1889-0"" data-mce-fragment=""1""> and</span><span data-offset-key=""8o902-1890-0"" data-mce-fragment=""1""> sustainability</span><span data-offset-key=""8o902-1891-0"" data-mce-fragment=""1""> to</span><span data-offset-key=""8o902-1892-0"" data-mce-fragment=""1""> your</span><span data-offset-key=""8o902-1893-0"" data-mce-fragment=""1""> meals</span><span data-offset-key=""8o902-1894-0"" data-mce-fragment=""1"">.</span><span data-offset-key=""8o902-1895-0"" data-mce-fragment=""1""> Our</span><span data-offset-key=""8o902-1896-0"" data-mce-fragment=""1""> organic</span><span data-offset-key=""8o902-1897-0"" data-mce-fragment=""1""> powd</span><span data-offset-key=""8o902-1898-0"" data-mce-fragment=""1"">ers</span><span data-offset-key=""8o902-1899-0"" data-mce-fragment=""1""> are</span><span data-offset-key=""8o902-1900-0"" data-mce-fragment=""1""> free</span><span data-offset-key=""8o902-1901-0"" data-mce-fragment=""1""> from</span><span data-offset-key=""8o902-1902-0"" data-mce-fragment=""1""> synthetic</span><span data-offset-key=""8o902-1903-0"" data-mce-fragment=""1""> fertil</span><span data-offset-key=""8o902-1904-0"" data-mce-fragment=""1"">izers</span><span data-offset-key=""8o902-1905-0"" data-mce-fragment=""1"">,</span><span data-offset-key=""8o902-1906-0"" data-mce-fragment=""1""> pesticides</span><span data-offset-key=""8o902-1907-0"" data-mce-fragment=""1"">,</span><span data-offset-key=""8o902-1908-0"" data-mce-fragment=""1""> and</span><span data-offset-key=""8o902-1909-0"" data-mce-fragment=""1""> other</span><span data-offset-key=""8o902-1910-0"" data-mce-fragment=""1""> chemicals</span><span data-offset-key=""8o902-1911-0"" data-mce-fragment=""1"">,</span><span data-offset-key=""8o902-1912-0"" data-mce-fragment=""1""> as</span><span data-offset-key=""8o902-1913-0"" data-mce-fragment=""1""> well</span><span data-offset-key=""8o902-1914-0"" data-mce-fragment=""1""> as</span><span data-offset-key=""8o902-1915-0"" data-mce-fragment=""1""> artificial</span><span data-offset-key=""8o902-1916-0"" data-mce-fragment=""1""> pres</span><span data-offset-key=""8o902-1917-0"" data-mce-fragment=""1"">ervatives</span><span data-offset-key=""8o902-1918-0"" data-mce-fragment=""1"">.</span><span data-offset-key=""8o902-1919-0"" data-mce-fragment=""1""> </span><span data-offset-key=""8o902-1942-0"" data-mce-fragment=""1"">With</span><span data-offset-key=""8o902-1943-0"" data-mce-fragment=""1""> a</span><span data-offset-key=""8o902-1944-0"" data-mce-fragment=""1""> variety</span><span data-offset-key=""8o902-1945-0"" data-mce-fragment=""1""> of</span><span data-offset-key=""8o902-1946-0"" data-mce-fragment=""1""> flavors</span><span data-offset-key=""8o902-1947-0"" data-mce-fragment=""1""> and</span><span data-offset-key=""8o902-1948-0"" data-mce-fragment=""1""> nutrient</span><span data-offset-key=""8o902-1949-0"" data-mce-fragment=""1"">-</span><span data-offset-key=""8o902-1950-0"" data-mce-fragment=""1"">d</span><span data-offset-key=""8o902-1951-0"" data-mce-fragment=""1"">ense</span><span data-offset-key=""8o902-1952-0"" data-mce-fragment=""1""> options</span><span data-offset-key=""8o902-1953-0"" data-mce-fragment=""1""> to</span><span data-offset-key=""8o902-1954-0"" data-mce-fragment=""1""> choose</span><span data-offset-key=""8o902-1955-0"" data-mce-fragment=""1""> from</span><span data-offset-key=""8o902-1956-0"" data-mce-fragment=""1"">,</span><span data-offset-key=""8o902-1957-0"" data-mce-fragment=""1""> you</span><span data-offset-key=""8o902-1958-0"" data-mce-fragment=""1"">’</span><span data-offset-key=""8o902-1959-0"" data-mce-fragment=""1"">re</span><span data-offset-key=""8o902-1960-0"" data-mce-fragment=""1""> sure</span><span data-offset-key=""8o902-1961-0"" data-mce-fragment=""1""> to</span><span data-offset-key=""8o902-1962-0"" data-mce-fragment=""1""> find</span><span data-offset-key=""8o902-1963-0"" data-mce-fragment=""1""> the</span><span data-offset-key=""8o902-1964-0"" data-mce-fragment=""1""> perfect</span><span data-offset-key=""8o902-1965-0"" data-mce-fragment=""1""> organic</span><span data-offset-key=""8o902-1966-0"" data-mce-fragment=""1""> powder</span><span data-offset-key=""8o902-1967-0"" data-mce-fragment=""1""> for</span><span data-offset-key=""8o902-1968-0"" data-mce-fragment=""1""> your</span><span data-offset-key=""8o902-1969-0"" data-mce-fragment=""1""> meals</span><span data-offset-key=""8o902-1970-0"" data-mce-fragment=""1"">.</span>","Best Selling","","2026-02-19 04:11:02 -0800","true","2021-02-11 21:47:33 -0800","web","https://cdn.shopify.com/s/files/1/0506/6965/0095/collections/custom_resized_powders.jpg?v=1643816459","2048","903","","23","true","all conditions","Title","Contains","powder","7131741225135","organic-taro-powder","","Bulk Organic Powders - Divine Organic Ingredients","With a variety of flavors and nutrient-dense options to choose from, you’re sure to find the perfect organic powder for your meals. Shop now and enjoy the delicious, nutritious, and sustainable benefits of our organic powders."
"244922712239","powder","MERGE","Organic Powders","","Best Selling","","2026-02-19 04:11:02 -0800","true","2021-02-11 21:47:33 -0800","web","https://cdn.shopify.com/s/files/1/0506/6965/0095/collections/custom_resized_powders.jpg?v=1643816459","2048","903","","24","","","Title","Not Contains","tea","6299815116975","organic-coffee-cherry-powder","","",""
"244922712239","powder","MERGE","Organic Powders","","Best Selling","","2026-02-19 04:11:02 -0800","true","2021-02-11 21:47:33 -0800","web","https://cdn.shopify.com/s/files/1/0506/6965/0095/collections/custom_resized_powders.jpg?v=1643816459","2048","903","","25","","","","","","6912976847023","organic-molasses-powder","","",""
"244922712239","powder","MERGE","Organic Powders","","Best Selling","","2026-02-19 04:11:02 -0800","true","2021-02-11 21:47:33 -0800","web","https://cdn.shopify.com/s/files/1/0506/6965/0095/collections/custom_resized_powders.jpg?v=1643816459","2048","903","","26","","","","","","6912980091055","organic-lions-mane-powder","","",""
"244922712239","powder","MERGE","Organic Powders","","Best Selling","","2026-02-19 04:11:02 -0800","true","2021-02-11 21:47:33 -0800","web","https://cdn.shopify.com/s/files/1/0506/6965/0095/collections/custom_resized_powders.jpg?v=1643816459","2048","903","","27","","","","","","6912983728303","organic-rose-petals-powder","","",""
"244922712239","powder","MERGE","Organic Powders","","Best Selling","","2026-02-19 04:11:02 -0800","true","2021-02-11 21:47:33 -0800","web","https://cdn.shopify.com/s/files/1/0506/6965/0095/collections/custom_resized_powders.jpg?v=1643816459","2048","903","","28","","","","","","6912979304623","organic-reishi-mushroom-powder","","",""
"244922712239","powder","MERGE","Organic Powders","","Best Selling","","2026-02-19 04:11:02 -0800","true","2021-02-11 21:47:33 -0800","web","https://cdn.shopify.com/s/files/1/0506/6965/0095/collections/custom_resized_powders.jpg?v=1643816459","2048","903","","29","","","","","","6912974520495","organic-cordyceps-powder","","",""
"244922712239","powder","MERGE","Organic Powders","","Best Selling","","2026-02-19 04:11:02 -0800","true","2021-02-11 21:47:33 -0800","web","https://cdn.shopify.com/s/files/1/0506/6965/0095/collections/custom_resized_powders.jpg?v=1643816459","2048","903","","30","","","","","","6912981860527","organic-date-powder","","",""
"244922712239","powder","MERGE","Organic Powders","","Best Selling","","2026-02-19 04:11:02 -0800","true","2021-02-11 21:47:33 -0800","web","https://cdn.shopify.com/s/files/1/0506/6965/0095/collections/custom_resized_powders.jpg?v=1643816459","2048","903","","31","","","","","","6912977731759","organic-rhodioba-root-powder","","",""
"244922712239","powder","MERGE","Organic Powders","","Best Selling","","2026-02-19 04:11:02 -0800","true","2021-02-11 21:47:33 -0800","web","https://cdn.shopify.com/s/files/1/0506/6965/0095/collections/custom_resized_powders.jpg?v=1643816459","2048","903","","32","","","","","","7131641086127","organic-ashwagandha-powder","","",""
"244922712239","powder","MERGE","Organic Powders","","Best Selling","","2026-02-19 04:11:02 -0800","true","2021-02-11 21:47:33 -0800","web","https://cdn.shopify.com/s/files/1/0506/6965/0095/collections/custom_resized_powders.jpg?v=1643816459","2048","903","","33","","","","","","6299817672879","organic-coconut-milk-powder","","",""
"244922712239","powder","MERGE","Organic Powders","","Best Selling","","2026-02-19 04:11:02 -0800","true","2021-02-11 21:47:33 -0800","web","https://cdn.shopify.com/s/files/1/0506/6965/0095/collections/custom_resized_powders.jpg?v=1643816459","2048","903","","34","","","","","","6299811905711","organic-blueberry-powder","","",""
